# THERMINATOR 2 Log File
[2021-12-03 18:11:44]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 18:11:56]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 18:12:08]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 18:12:20]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-03 18:12:31]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 18:12:49]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 18:55:05]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:55:16]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 18:55:48]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:56:10]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
